"Profile","Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"registerextendedconsent-request","registerextendedconsent-request.registrationAction.registeredBy.modifierExtension","registerextendedconsent-request.registrationAction.registeredBy.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"registerextendedconsent-request","registerextendedconsent-request.registrationAction.registeredBy.employeeId","registerextendedconsent-request.registrationAction.registeredBy.employeeId","","","",1,1,"","","","Identifier {[]} {[]}
","HSA-id för medarbetaren (max 32 tecken)","HSA-id för medarbetaren (max 32 tecken)","","","","","","","","","",,,,,"",,,,"registerextendedconsent-request.registrationAction.registeredBy.employeeId",1,1,"",""
"registerextendedconsent-request","registerextendedconsent-request.registrationAction.registeredBy.assignmentId","registerextendedconsent-request.registrationAction.registeredBy.assignmentId","","","",0,1,"","","","Identifier {[]} {[]}
","HSA-id för medarbetaruppdraget (max 32 tecken)","HSA-id för medarbetaruppdraget (max 32 tecken)","","","","","","","","","",,,,,"",,,,"registerextendedconsent-request.registrationAction.registeredBy.assignmentId",0,1,"",""
"registerextendedconsent-request","registerextendedconsent-request.registrationAction.registeredBy.assignmentName","registerextendedconsent-request.registrationAction.registeredBy.assignmentName","","","",0,1,"","","","string {[]} {[]}
","Namn på medarbetaruppdraget (max 256 tecken)","Namn på medarbetaruppdraget (max 256 tecken)","","","","","","","","","",,,,,"",,,,"registerextendedconsent-request.registrationAction.registeredBy.assignmentName",0,1,"",""
"registerextendedconsent-request","registerextendedconsent-request.registrationAction.reasonText","registerextendedconsent-request.registrationAction.reasonText","","","",0,1,"","","","string {[]} {[]}
","Anledning till åtgärden i fritext (max 1024 tecken)","Anledning till åtgärden i fritext (max 1024 tecken)","","","","","","","","","",,,,,"",,,,"registerextendedconsent-request.registrationAction.reasonText",0,1,"",""
"registerextendedconsent","registerextendedconsent","registerextendedconsent","","","",0,*,"","","","null {[]} {[]}
","RegisterExtendedConsent","Logisk modell för tjänstekontraktet RegisterExtendedConsent
(RIV-TA urn:riv:ehr:patientconsent:administration:RegisterExtendedConsentResponder:1).
Representerar responsens informationsstruktur.

Tjänst som registrerar ett intyg gällande viss patient som ger direktåtkomst till patientens
information från andra vårdgivare enligt PDL. Intyget avser patientens aktiva medgivande (samtycke),
alternativt nödsituation då HoS personal bedömer att behov av uppgifterna finns för nödvändig vård.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"registerextendedconsent","registerextendedconsent.result","registerextendedconsent.result","","","",1,1,"","","","BackboneElement {[]} {[]}
","Status för om registreringen utfördes","Status för om registreringen utfördes","","","","","","","","","",,,,,"",,,,"registerextendedconsent.result",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"registerextendedconsent","registerextendedconsent.result.id","registerextendedconsent.result.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"registerextendedconsent","registerextendedconsent.result.extension","registerextendedconsent.result.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"registerextendedconsent","registerextendedconsent.result.modifierExtension","registerextendedconsent.result.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
